File,TargetSNR_dB,STOI_Input,STOI_Baseline,STOI_Leaky,STOI_HardVAD,STOI_SoftVAD
female_01_IUS-F00202.wav,-5,0.955310531414323,0.975340675993535,0.957380899681772,0.954433955391414,0.957798105727615
female_01_IUS-F00202.wav,0,0.975678932333304,0.970467262319254,0.970775348592755,0.972884229472636,0.976313170959354
female_01_IUS-F00202.wav,5,0.986749147110132,0.950036774418576,0.969026403177322,0.98611275202827,0.986362141127076
female_01_IUS-F00202.wav,10,0.993920122050166,0.92437464547671,0.957208312407883,0.990729909368755,0.990726821624939
female_02_IUS-F02202.wav,-5,0.952434306059808,0.974709483411641,0.958817128258833,0.960340204345871,0.960748448969914
female_02_IUS-F02202.wav,0,0.979443895600715,0.964328092459989,0.967792563497949,0.979149187359925,0.981829756661619
female_02_IUS-F02202.wav,5,0.991606714249836,0.933587417915832,0.952175882378174,0.982980271430678,0.985741103947559
female_02_IUS-F02202.wav,10,0.996698546340008,0.902825198448166,0.928285570511762,0.980811003527207,0.982579233870826
female_03_IUS-F04202.wav,-5,0.944405343940242,0.956466996713021,0.947730828050363,0.948867752008514,0.94992912673402
female_03_IUS-F04202.wav,0,0.972422518600621,0.940787090621979,0.961438854887428,0.968887923617692,0.971215619637592
female_03_IUS-F04202.wav,5,0.98868921784894,0.906860699220334,0.947971529786609,0.981510906122431,0.97929684452472
female_03_IUS-F04202.wav,10,0.995510136013805,0.873004029834952,0.920537909861954,0.982871179865652,0.978755287295647
female_04_IUS-F06202.wav,-5,0.965712857837995,0.975811488750815,0.96909288271103,0.969798614670393,0.970504223739603
female_04_IUS-F06202.wav,0,0.985470440570298,0.964508724723185,0.978039583426045,0.978674137033248,0.982902714231067
female_04_IUS-F06202.wav,5,0.994218873256032,0.937867791084811,0.964051878079106,0.984011470706758,0.984498904450956
female_04_IUS-F06202.wav,10,0.997832013517204,0.906566123442526,0.935559577496718,0.974815549494915,0.978186660410522
female_05_IUS-F08202.wav,-5,0.942553274833607,0.955388135198234,0.945852710594091,0.950192720635617,0.94834345130256
female_05_IUS-F08202.wav,0,0.971968656768223,0.950103763432998,0.959889120139776,0.974078759127284,0.9729824550259
female_05_IUS-F08202.wav,5,0.987436561522268,0.930637256072093,0.956641548024802,0.98447318090762,0.982506712111833
female_05_IUS-F08202.wav,10,0.993709181486535,0.899943993578697,0.937311148568811,0.985391924645155,0.983180861692655
female_06_IUS-F10202.wav,-5,0.920874991980573,0.943232660084691,0.9252306365151,0.924715766214397,0.926383830286707
female_06_IUS-F10202.wav,0,0.959850791503015,0.942603936344162,0.954972549777237,0.963486629055822,0.964264351871262
female_06_IUS-F10202.wav,5,0.982942370003263,0.927420362300017,0.957895706155782,0.977349037263516,0.980379317719638
female_06_IUS-F10202.wav,10,0.993557489078287,0.90782662688618,0.941805711379582,0.977584372810747,0.980245179112431
female_07_IUS-F12202.wav,-5,0.958365569283655,0.94451438195023,0.951509963990937,0.954904454329041,0.957863480003853
female_07_IUS-F12202.wav,0,0.983826452191831,0.936506895659916,0.961998121426114,0.974722721297963,0.977584048066381
female_07_IUS-F12202.wav,5,0.993836120317564,0.920230830871489,0.95343028101552,0.981231447745455,0.984179741498729
female_07_IUS-F12202.wav,10,0.997541194506228,0.896810134461951,0.933299986155164,0.987301914770619,0.983449542246036
female_08_IUS-F14202.wav,-5,0.948928835081814,0.979418697865899,0.953387531264315,0.952601461647466,0.954891668396659
female_08_IUS-F14202.wav,0,0.973350531935718,0.977672477496909,0.970466460238566,0.974177767005227,0.976753125474618
female_08_IUS-F14202.wav,5,0.985207950753943,0.958612325366969,0.967945178580324,0.983839365354607,0.984260598707897
female_08_IUS-F14202.wav,10,0.992858561614968,0.933537601408418,0.952701726979671,0.990521094683404,0.990150613874614
female_09_IUS-F16202.wav,-5,0.959842202930727,0.968387009201969,0.963719959308748,0.961206195456307,0.96335309224178
female_09_IUS-F16202.wav,0,0.984970278097485,0.969149508501591,0.976201931662025,0.976758533826011,0.981362675899385
female_09_IUS-F16202.wav,5,0.994418879830714,0.955242519927878,0.970163335886555,0.985354749315197,0.984421784793334
female_09_IUS-F16202.wav,10,0.997932204641272,0.933288642487762,0.955088506822625,0.98740139262798,0.980850822057973
female_10_IUS-F18202.wav,-5,0.945837016925943,0.972016050317187,0.954631649431844,0.951029271686013,0.951461780085371
female_10_IUS-F18202.wav,0,0.975458823647586,0.969125552166317,0.973389634220473,0.975402763330716,0.975419804293284
